,CAR_NAME,PRICE,LOCATION,LINK
1,2024 BMW i7 eDrive50 M Sport,₹1.60 Crore,"SECTOR 82, Gurgaon",https://www.cardekho.com/used-car-details/used-Bmw-i7-edrive50-m-sport-cars-Gurgaon_4b2f006c-b131-48d3-af6a-c3ad79449e77.htm?adId=11603&adType=1
2,2023 Mahindra Thar LX 4WD Hard Top AT BSVI,₹14.75 Lakh,"Naraina, New Delhi",https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-at-bsvi-cars-New-Delhi_fee93672-d7c8-4c7c-950b-e663febdcbb3.htm?adId=11930&adType=41
3,2019 Toyota Innova Crysta 2.4 G Plus MT BSIV,₹1 Lakh,"Naraina, New Delhi",https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-g-plus-mt-bsiv-cars-New-Delhi_ad6ddb2e-f7ca-45ad-a0ff-1a0e456fb291.htm
4,2024 Kia Sonet Gravity,₹9.70 Lakh,"Preet Vihar, New Delhi",https://www.cardekho.com/used-car-details/used-Kia-sonet-gravity-cars-New-Delhi_dc16ebd9-144b-42b4-a115-25f751ebf64a.htm
5,2022 Renault Kiger RXZ Turbo CVT,₹7.17 Lakh,"Rohini Courts, New Delhi",https://www.cardekho.com/buy-used-car-details/used-Renault-kiger-rxz-turbo-cvt-cars-New-Delhi_8fdfa95a-b94e-4cdd-b68a-2abf6a1892f4.htm
6,2021 Kia Seltos HTK Plus G,₹10.99 Lakh,"Karam Pura, New Delhi",https://www.cardekho.com/used-car-details/used-Kia-seltos-htk-plus-g-cars-New-Delhi_fa702469-496d-48e4-bae8-00f3c0125169.htm?adId=9930&adType=41
7,2024 Kia Sonet Gravity,₹9.75 Lakh,"Preet Vihar, New Delhi",https://www.cardekho.com/used-car-details/used-Kia-sonet-gravity-cars-New-Delhi_362bf80d-0b05-4d89-a81c-208df3af9682.htm
8,2021 Kia Sonet HTX Turbo iMT BSVI,₹8.25 Lakh,"Vigyan Vihar, New Delhi",https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-imt-bsvi-cars-New-Delhi_5681d7f0-8809-4ba7-8c16-7271644fbdb4.htm
9,2021 Renault Kiger RXT AMT,₹5.21 Lakh,"Rajouri Garden, New Delhi",https://www.cardekho.com/buy-used-car-details/used-Renault-kiger-rxt-amt-cars-New-Delhi_7cd1edb6-2d82-4f34-88c4-9c28642937a0.htm
10,2023 Tata Punch Adventure BSVI,₹6.50 Lakh,"Kamla Nagar, New Delhi",https://www.cardekho.com/used-car-details/used-Tata-punch-adventure-bsvi-cars-New-Delhi_356aade5-ad52-45ad-8a3f-cf0d2d6a4c7d.htm?adId=10439&adType=41
11,2025 Hyundai Exter SX Knight AMT,₹9.25 Lakh,"Lajpat Nagar, New Delhi",https://www.cardekho.com/used-car-details/used-Hyundai-exter-sx-knight-amt-cars-New-Delhi_1865ce80-d22c-4260-8b04-84812fd1d6dd.htm
12,2021 Kia Sonet HTX Turbo iMT BSVI,₹8.50 Lakh,"Shalimar Bagh, New Delhi",https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-imt-bsvi-cars-New-Delhi_53ef2f62-b2fe-40a2-90ba-5d7b9c494f36.htm
13,2020 Kia Seltos HTX,₹8.04 Lakh,"Rohini Courts, New Delhi",https://www.cardekho.com/buy-used-car-details/used-Kia-seltos-htx-cars-New-Delhi_a81e30bd-a048-45f7-90af-4c3f90a8023b.htm
14,2021 Renault Triber RXL EASY-R AMT,₹4.50 Lakh,"Sant Nagar, New Delhi",https://www.cardekho.com/used-car-details/used-Renault-triber-rxl-easy-r-amt-cars-New-Delhi_b858ac71-f879-47ae-8b41-8fef33146dde.htm?adId=7764&adType=41
15,2022 Renault Kiger RXZ,₹5.46 Lakh,"Rohini Courts, New Delhi",https://www.cardekho.com/buy-used-car-details/used-Renault-kiger-rxz-cars-New-Delhi_bd815c1e-7dd1-4227-944c-d6635756b88c.htm
16,2012 Hyundai EON Era,₹1.55 Lakh,"Karol Bagh, New Delhi",https://www.cardekho.com/used-car-details/used-Hyundai-eon-era-cars-New-Delhi_82145b28-af0d-4a85-80f9-fcc09564e0c7.htm
17,2020 Kia Seltos HTK Plus G,₹9.44 Lakh,"Lajpat Nagar, New Delhi",https://www.cardekho.com/used-car-details/used-Kia-seltos-htk-plus-g-cars-New-Delhi_83897125-fa48-462e-8591-8d3d8999bd8b.htm
18,2024 Hyundai IONIQ 5 Long Range RWD,₹40 Lakh,"Kailash Colony, New Delhi",https://www.cardekho.com/used-car-details/used-Hyundai-ioniq-5-long-range-rwd-cars-New-Delhi_83d7bc46-f73e-4358-8c6e-bd7ad0d8243a.htm?adId=10277&adType=41
19,2023 Kia Seltos HTX IVT,₹15.90 Lakh,"Naraina, New Delhi",https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-ivt-cars-New-Delhi_e16f1b43-15a9-40a1-9a7a-1205d05fe757.htm
20,2025 Kia Syros HTX Turbo,₹12.35 Lakh,"Dwarka Sector-6, New Delhi",https://www.cardekho.com/used-car-details/used-Kia-syros-htx-turbo-cars-New-Delhi_f414851b-1574-4ab4-8ae2-2da9ff9b1010.htm
