,TITLE,PRICE
1,"3 BHK Flat for Sale in Phase 1 DLF, Gurgaon","₹
3.50 Cr"
2,"3 BHK Flat for Sale in Modern Luxurious Floors at Malibu Town, Malibu Town, Sector 47, Gurgaon","₹
3 Cr"
3,"3 BHK Flat for Sale in Birla Navya, Golf Course Extension Road, Gurgaon","₹
4.10 Cr"
4,"3 BHK Flat for Sale in DLF Park Place, Golf Course Road, Gurgaon","₹
6.50 Cr"
5,"2 BHK Flat for Sale in DLF One Midtown, Moti Nagar, Kirti Nagar, New Delhi","₹
4.10 Cr"
6,"3 BHK Flat for Sale in DDA Flats Munirka, Munirka, New Delhi","₹
1.89 Cr"
7,"2 BHK Flat for Sale in Saket, New Delhi","₹
65 Lac"
8,"2 BHK Flat for Sale in Greatvalue Sharanam, Sector 107, Dadri Road, Noida","₹
1.65 Cr"
9,"3 BHK Flat for Sale in New Rajendra Nagar, New Delhi","₹
3.60 Cr"
10,"3 BHK Flat for Sale in Chittaranjan Park, New Delhi","₹
4 Cr"
11,"2 BHK Flat for Sale in Unitech Heritage City, Mehrauli Gurgaon Road, Gurgaon","₹
2.25 Cr"
12,"3 BHK Flat for Sale in Anant Raj Estate, Sector 63A, Gurgaon","₹
2.18 Cr"
13,"3 BHK Flat for Sale in Sector 89, Gurgaon","₹
2.25 Cr"
14,"3 BHK Flat for Sale in Sector 27, Gurgaon","₹
3.40 Cr"
15,"3 BHK Flat for Sale in Phase 2 DLF, Gurgaon","₹
2.95 Cr"
16,"3 BHK Flat for Sale in Trehan Luxury Floors, Sector 63, Gurgaon","₹
2.60 Cr"
17,"3 BHK Flat for Sale in Sector 70A, Gurgaon","₹
2.10 Cr"
18,"3 BHK Flat for Sale in Suncity, Sector 54, DLF Golf Course Road, Gurgaon","₹
4.50 Cr"
19,"3 BHK Villa for Sale in Unitech Deerwood, Nirvana Country, Sector 50 Gurgaon","₹
9.50 Cr"
20,"3 BHK Flat for Sale in M3M Merlin, Sector 67, Gurgaon","₹
5 Cr"
21,"3 BHK Flat for Sale in South City 1, Gurgaon","₹
3 Cr"
22,"3 BHK Flat for Sale in The Palatial by Hero Homes, Sector 104, Gurgaon","₹
4.67 Cr"
23,"3 BHK Flat for Sale in Estate 360, Sector 36A, Gurgaon","₹
5.68 Cr"
24,"3 BHK Flat for Sale in Godrej Miraya, Sector 43, Gurgaon","₹
9.48 Cr"
25,"3 BHK Flat for Sale in DLF Wellington Estate, Phase 5 DLF, Gurgaon","₹
3.30 Cr"
26,"2 BHK Flat for Sale in Experion Heartsong, Dharampur, Sector 108, Gurgaon","₹
1.42 Cr"
27,"3 BHK Flat for Sale in Malibu Town, Sector 47, Gurgaon","₹
3.15 Cr"
28,"3 BHK Flat for Sale in All Punjabi Welfare Association, Sector 23, Gurgaon","₹
1.90 Cr"
29,"3 BHK Flat for Sale in Renox Thrive, Sector 10, Greater Noida","₹
1.50 Cr"
30,"3 BHK Flat for Sale in Godrej Nature Plus, Sector 33 Sohna, Gurgaon","₹
2.05 Cr"
