,COMPANY,LTP,CHANGE
1,EICHERMOT,"6,580.00",2.41
2,M&M,"3,562.90",2.34
3,SHRIRAMFIN,595.65,1.68
4,MARUTI,"14,903.00",1.64
5,DRREDDY,"1,269.70",1.33
6,POWERGRID,285.50,1.31
7,RELIANCE,"1,375.70",1.21
8,ETERNAL,329.50,1.00
9,TATAMOTORS,693.50,0.87
10,SBILIFE,"1,806.00",0.83
11,HINDALCO,745.00,0.81
12,HDFCLIFE,760.05,0.77
13,BHARTIARTL,"1,894.00",0.72
14,SUNPHARMA,"1,592.90",0.67
15,BAJAJFINSV,"2,015.00",0.64
16,TATASTEEL,167.80,0.59
17,AXISBANK,"1,056.00",0.53
18,ASIANPAINT,"2,581.90",0.52
19,INDUSINDBK,758.25,0.45
20,COALINDIA,393.10,0.42
21,HEROMOTOCO,"5,370.00",0.36
22,TATACONSUM,"1,075.00",0.36
23,BAJFINANCE,936.95,0.24
24,JSWSTEEL,"1,074.90",0.23
25,JIOFIN,310.00,0.18
26,ADANIENT,"2,282.50",0.16
27,HDFCBANK,962.60,0.14
28,BAJAJ-AUTO,"9,075.00",0.04
29,GRASIM,"2,807.90",-0.07
30,BEL,371.70,-0.21
31,ICICIBANK,"1,402.30",-0.23
32,TRENT,"5,515.50",-0.24
33,WIPRO,244.36,-0.25
34,SBIN,806.95,-0.30
35,NTPC,328.75,-0.39
36,ULTRACEMCO,"12,592.00",-0.47
37,NESTLEIND,"1,206.90",-0.47
38,ONGC,234.60,-0.48
39,KOTAKBANK,"1,939.50",-0.52
40,ADANIPORTS,"1,321.10",-0.53
41,TITAN,"3,660.00",-0.84
42,APOLLOHOSP,"7,830.00",-0.89
43,LT,"3,553.70",-1.08
44,INFY,"1,446.00",-1.16
45,HINDUNILVR,"2,628.00",-1.45
46,TECHM,"1,478.00",-1.49
47,TCS,"3,048.00",-1.54
48,HCLTECH,"1,420.10",-1.61
49,CIPLA,"1,551.10",-1.69
50,ITC,407.90,-1.92
