,DATE,TIME,STATUS
0,"Sat, 2 Aug 2025",2030,CONFIRMED
1,"Sat, 2 Aug 2025",2030,CONFIRMED
2,"Sat, 2 Aug 2025",2030,CONFIRMED
3,"Sat, 2 Aug 2025",2030,CANCELLED
4,"Sat, 2 Aug 2025",2030,CONFIRMED
5,"Sat, 2 Aug 2025",2045,CONFIRMED
6,"Sat, 2 Aug 2025",2050,CONFIRMED
7,"Sat, 2 Aug 2025",2110,CONFIRMED
8,"Sat, 2 Aug 2025",2115,CONFIRMED
9,"Sat, 2 Aug 2025",2125,CONFIRMED
10,"Sat, 2 Aug 2025",2140,CONFIRMED
11,"Sat, 2 Aug 2025",2200,CONFIRMED
12,"Sat, 2 Aug 2025",2230,CONFIRMED
13,"Sat, 2 Aug 2025",2230,CONFIRMED
14,"Sat, 2 Aug 2025",2235,CONFIRMED
15,"Sat, 2 Aug 2025",2240,CONFIRMED
