,DATE,TIME
0,"Thu, 31 Jul 2025",1650
1,"Thu, 31 Jul 2025",1700
2,"Thu, 31 Jul 2025",1700
3,"Thu, 31 Jul 2025",1710
4,"Thu, 31 Jul 2025",1710
5,"Thu, 31 Jul 2025",1720
6,"Thu, 31 Jul 2025",1720
7,"Thu, 31 Jul 2025",1730
8,"Thu, 31 Jul 2025",1740
9,"Thu, 31 Jul 2025",1745
10,"Thu, 31 Jul 2025",1750
11,"Thu, 31 Jul 2025",1750
12,"Thu, 31 Jul 2025",1800
13,"Thu, 31 Jul 2025",1800
14,"Thu, 31 Jul 2025",1810
15,"Thu, 31 Jul 2025",1820
16,"Thu, 31 Jul 2025",1830
17,"Thu, 31 Jul 2025",1830
18,"Thu, 31 Jul 2025",1840
19,"Thu, 31 Jul 2025",1850
20,"Thu, 31 Jul 2025",1900
21,"Thu, 31 Jul 2025",1910
22,"Thu, 31 Jul 2025",1920
23,"Thu, 31 Jul 2025",1920
24,"Thu, 31 Jul 2025",1930
25,"Thu, 31 Jul 2025",1940
26,"Thu, 31 Jul 2025",2010
27,"Thu, 31 Jul 2025",2010
28,"Thu, 31 Jul 2025",2015
29,"Thu, 31 Jul 2025",2020
30,"Thu, 31 Jul 2025",2020
31,"Thu, 31 Jul 2025",2030
32,"Thu, 31 Jul 2025",2040
33,"Thu, 31 Jul 2025",2045
34,"Thu, 31 Jul 2025",2045
35,"Thu, 31 Jul 2025",2045
36,"Thu, 31 Jul 2025",2100
37,"Thu, 31 Jul 2025",2120
38,"Thu, 31 Jul 2025",2135
39,"Thu, 31 Jul 2025",2140
40,"Thu, 31 Jul 2025",2145
41,"Thu, 31 Jul 2025",2150
